length,num_digits,num_uppercase,num_lowercase,num_special,has_digit,has_upper,has_lower,has_special,password,strength
8,3,1,3,1,1,1,1,1,Pass@123,Strong
6,0,0,6,0,0,0,1,0,qwerty,Weak
8,8,0,0,0,1,0,0,0,12345678,Weak
9,4,2,2,1,1,1,1,1,A1b2C3d4!,Strong
8,1,0,7,0,1,0,1,0,welcome1,Medium
9,0,1,7,1,0,1,1,1,Password!,Medium
5,0,0,5,0,0,0,1,0,admin,Weak
11,4,1,5,1,1,1,1,1,Secure*2024,Strong
10,3,1,6,0,1,1,1,0,Letmein123,Medium
5,0,0,5,0,0,0,1,0,hello,Weak
9,1,2,5,1,1,1,1,1,Good@Day9,Strong
8,2,0,6,0,1,0,1,0,1qaz2wsx,Medium
9,0,1,7,1,0,1,1,1,Sunshine@,Medium
10,3,1,5,1,1,1,1,1,Qwerty@123,Strong
8,4,0,4,0,1,0,1,0,abcd1234,Weak
7,2,2,2,1,1,1,1,1,Egk2@Y8,Medium
9,1,3,2,3,1,1,1,1,"/hgB_FP9,",Weak
14,1,3,4,6,1,1,1,1,1]Q;TotcWk*{!<,Strong
12,1,5,4,2,1,1,1,1,1jfNHHo]qQ(U,Weak
13,2,3,4,4,1,1,1,1,5.|GF~neSih-6,Medium
14,2,6,2,4,1,1,1,1,S64Pa`W^PL?K[u,Medium
14,1,4,6,3,1,1,1,1,"Z""JlvjHq*Xp@4v",Strong
7,1,1,3,2,1,1,1,1,Pe;6vg^,Medium
14,2,6,2,4,1,1,1,1,"F[F'1HPQBn'f""8",Weak
11,1,1,3,6,1,1,1,1,%:m)1Q}|'yv,Strong
6,1,3,0,2,1,1,0,1,@UJ=4D,Weak
13,1,1,5,6,1,1,1,1,e''i!4zpW]~$s,Weak
11,2,4,2,3,1,1,1,1,"I2,7$RX#oOf",Weak
12,1,4,2,5,1,1,1,1,R^$>#o|oG9VY,Medium
10,1,2,2,5,1,1,1,1,"!""5dPn`!$U",Weak
10,1,1,3,5,1,1,1,1,"%s`s{r""5:Y",Weak
11,2,2,3,4,1,1,1,1,#E72hZox;'|,Medium
14,4,0,5,5,1,0,1,1,|u|#yz[5+c18u2,Weak
9,0,4,3,2,0,1,1,1,sWZhJb>-W,Medium
7,0,2,3,2,0,1,1,1,i+pEGa:,Medium
14,1,2,4,7,1,1,1,1,=..}$%}qf0eGNw,Weak
12,2,2,4,4,1,1,1,1,VN^?d_6hf^5c,Weak
7,4,0,2,1,1,0,1,1,<4be799,Weak
12,3,2,2,5,1,1,1,1,T\39}u+7&&sG,Weak
11,1,4,4,2,1,1,1,1,Ykg8Uy~Zd=W,Weak
11,2,2,5,2,1,1,1,1,puX4t\ri]H9,Weak
11,1,2,4,4,1,1,1,1,[''~Wlt3miJ,Medium
14,0,3,5,6,0,1,1,1,"{mN,is-SJ[ey.}",Medium
14,0,5,4,5,0,1,1,1,+a)-{~HQoUBXkc,Weak
10,2,2,3,3,1,1,1,1,"kv<'i""DY24",Weak
13,1,3,3,6,1,1,1,1,"aE<""aF4n#D)<?",Medium
11,2,2,3,4,1,1,1,1,0!gnR<3]q&K,Weak
14,0,4,4,6,0,1,1,1,_]meuNu^*M=TJ&,Strong
